DisorderID,Parents
http://purl.obolibrary.org/obo/DOID_8986,http://purl.obolibrary.org/obo/DOID_535
http://purl.obolibrary.org/obo/OGMS_0000096,http://purl.obolibrary.org/obo/OBI_0000011
http://purl.obolibrary.org/obo/OGMS_0000079,http://purl.obolibrary.org/obo/BFO_0000040
http://purl.obolibrary.org/obo/NBO_0000272,http://purl.obolibrary.org/obo/NBO_0000271
http://purl.obolibrary.org/obo/GO_0050909,http://purl.obolibrary.org/obo/GO_0007606
http://purl.obolibrary.org/obo/DOID_9923,http://purl.obolibrary.org/obo/DOID_0060038
http://purl.obolibrary.org/obo/GO_0050957,http://purl.obolibrary.org/obo/GO_0007600
http://purl.obolibrary.org/obo/MFOMD_0000054,http://purl.obolibrary.org/obo/MFOMD_0000053
http://purl.obolibrary.org/obo/MFOMD_0000097,http://purl.obolibrary.org/obo/DOID_2468
http://purl.obolibrary.org/obo/behavior.owl/NBO_0003161,http://purl.obolibrary.org/obo/NBO_0001728
http://purl.obolibrary.org/obo/behavior.owl/NBO_0003161,http://purl.obolibrary.org/obo/NBO_0002234
http://purl.obolibrary.org/obo/MFOMD_0000053,http://purl.obolibrary.org/obo/MFOMD_0000046
http://purl.obolibrary.org/obo/NBO_0000464,http://purl.obolibrary.org/obo/NBO_0000308
http://purl.obolibrary.org/obo/DOID_10933,http://purl.obolibrary.org/obo/DOID_2030
http://purl.obolibrary.org/obo/MFOMD_0000096,http://purl.obolibrary.org/obo/DOID_2468
http://purl.obolibrary.org/obo/GO_0046960,http://purl.obolibrary.org/obo/GO_0046958
http://purl.obolibrary.org/obo/MF_0000065,http://purl.obolibrary.org/obo/MF_0000203
http://purl.obolibrary.org/obo/DOID_1229,http://purl.obolibrary.org/obo/DOID_5419
http://purl.obolibrary.org/obo/OGMS_0000102,http://purl.obolibrary.org/obo/OGMS_0000045
http://purl.obolibrary.org/obo/DOID_12128,http://purl.obolibrary.org/obo/DOID_8670
http://purl.obolibrary.org/obo/NBO_0000038,http://purl.obolibrary.org/obo/NBO_0000035
http://purl.obolibrary.org/obo/NBO_0000027,http://purl.obolibrary.org/obo/NBO_0000313
http://purl.obolibrary.org/obo/NBO_0000027,http://purl.obolibrary.org/obo/GO_0007610
http://purl.obolibrary.org/obo/NBO_0000376,http://purl.obolibrary.org/obo/NBO_0000372
http://purl.obolibrary.org/obo/NBO_0000387,http://purl.obolibrary.org/obo/NBO_0000386
http://purl.obolibrary.org/obo/DOID_3312,http://purl.obolibrary.org/obo/DOID_3324
http://purl.obolibrary.org/obo/NBO_0000398,http://purl.obolibrary.org/obo/NBO_0000390
http://purl.obolibrary.org/obo/NBO_0000398,http://purl.obolibrary.org/obo/NBO_0000404
http://purl.obolibrary.org/obo/NBO_0000074,http://purl.obolibrary.org/obo/NBO_0000747
http://purl.obolibrary.org/obo/NBO_0000085,http://purl.obolibrary.org/obo/NBO_0000003
http://purl.obolibrary.org/obo/NBO_0000096,http://purl.obolibrary.org/obo/NBO_0000094
http://purl.obolibrary.org/obo/behavior.owl/NBO_0003104,http://purl.obolibrary.org/obo/behavior.owl/NBO_0003047
http://purl.obolibrary.org/obo/DOID_0060132,http://purl.obolibrary.org/obo/DOID_4090
http://purl.obolibrary.org/obo/DOID_599,http://purl.obolibrary.org/obo/DOID_591
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002916,http://purl.obolibrary.org/obo/behavior.owl/NBO_0002869
http://purl.obolibrary.org/obo/OGMS_0000069,http://purl.obolibrary.org/obo/OGMS_0000067
http://purl.obolibrary.org/obo/NBO_0001845,http://purl.obolibrary.org/obo/NBO_0000313
http://purl.obolibrary.org/obo/NBO_0001845,http://purl.obolibrary.org/obo/GO_0007610
http://purl.obolibrary.org/obo/MFOMD_0000145,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000304,http://purl.obolibrary.org/obo/NBO_0000170
http://purl.obolibrary.org/obo/MFOMD_0000188,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/MFOMD_0000157,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/DOID_11120,http://purl.obolibrary.org/obo/DOID_10132
http://purl.obolibrary.org/obo/MFOMD_0000156,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/DOID_10934,http://purl.obolibrary.org/obo/DOID_10935
http://purl.obolibrary.org/obo/MFOMD_0000199,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/MFOMD_0000134,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000095,http://purl.obolibrary.org/obo/NBO_0000091
http://purl.obolibrary.org/obo/NBO_0000741,http://purl.obolibrary.org/obo/NBO_0000015
http://purl.obolibrary.org/obo/OGMS_0000092,http://purl.obolibrary.org/obo/BFO_0000015
http://purl.obolibrary.org/obo/DOID_0060243,http://purl.obolibrary.org/obo/DOID_4186
http://purl.obolibrary.org/obo/DOID_13352,http://purl.obolibrary.org/obo/DOID_1234
http://purl.obolibrary.org/obo/NBO_0000327,http://purl.obolibrary.org/obo/NBO_0000751
http://purl.obolibrary.org/obo/MFOMD_0000001,http://purl.obolibrary.org/obo/OGMS_0000031
http://purl.obolibrary.org/obo/NBO_0000314,http://purl.obolibrary.org/obo/NBO_0000751
http://purl.obolibrary.org/obo/NBO_0000303,http://purl.obolibrary.org/obo/NBO_0000300
http://purl.obolibrary.org/obo/NBO_0000303,http://purl.obolibrary.org/obo/NBO_0000048
http://purl.obolibrary.org/obo/NBO_0000303,http://purl.obolibrary.org/obo/NBO_0000151
http://purl.obolibrary.org/obo/NBO_0000350,http://purl.obolibrary.org/obo/NBO_0000339
http://purl.obolibrary.org/obo/NBO_0000361,http://purl.obolibrary.org/obo/NBO_0000342
http://purl.obolibrary.org/obo/MF_0000050,http://purl.obolibrary.org/obo/MF_0000048
http://purl.obolibrary.org/obo/GO_0007605,http://purl.obolibrary.org/obo/GO_0050954
http://purl.obolibrary.org/obo/MFOMD_0000099,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000740,http://purl.obolibrary.org/obo/NBO_0000015
http://purl.obolibrary.org/obo/MFOMD_0000002,http://purl.obolibrary.org/obo/MFOMD_0000053
http://purl.obolibrary.org/obo/NBO_0000326,http://purl.obolibrary.org/obo/NBO_0000330
http://purl.obolibrary.org/obo/NBO_0000337,http://purl.obolibrary.org/obo/NBO_0000330
http://purl.obolibrary.org/obo/DOID_2033,http://purl.obolibrary.org/obo/DOID_0060038
http://purl.obolibrary.org/obo/NBO_0000612,http://purl.obolibrary.org/obo/NBO_0000011
http://purl.obolibrary.org/obo/IAO_0000030,http://purl.obolibrary.org/obo/BFO_0000031
http://purl.obolibrary.org/obo/NBO_0000571,http://purl.obolibrary.org/obo/NBO_0000020
http://purl.obolibrary.org/obo/MFOMD_0000147,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0001763,http://purl.obolibrary.org/obo/NBO_0001728
http://purl.obolibrary.org/obo/GO_0007606,http://purl.obolibrary.org/obo/GO_0007600
http://purl.obolibrary.org/obo/NBO_0000233,http://purl.obolibrary.org/obo/NBO_0000313
http://purl.obolibrary.org/obo/NBO_0000233,http://purl.obolibrary.org/obo/GO_0007610
http://purl.obolibrary.org/obo/DOID_251,http://purl.obolibrary.org/obo/DOID_8646
http://purl.obolibrary.org/obo/NBO_0000222,http://purl.obolibrary.org/obo/NBO_0000171
http://purl.obolibrary.org/obo/OGMS_0000083,http://purl.obolibrary.org/obo/OGMS_0000014
http://purl.obolibrary.org/obo/MFOMD_0000158,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/MFOMD_0000159,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/MF_0000012,http://purl.obolibrary.org/obo/MF_0000020
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002950,http://purl.obolibrary.org/obo/NBO_0000416
http://purl.obolibrary.org/obo/DOID_303,http://purl.obolibrary.org/obo/MFOMD_0000004
http://purl.obolibrary.org/obo/NBO_0000636,http://purl.obolibrary.org/obo/NBO_0000635
http://purl.obolibrary.org/obo/DOID_252,http://purl.obolibrary.org/obo/DOID_251
http://purl.obolibrary.org/obo/NBO_0000188,http://purl.obolibrary.org/obo/NBO_0000181
http://purl.obolibrary.org/obo/NBO_0000177,http://purl.obolibrary.org/obo/NBO_0000022
http://purl.obolibrary.org/obo/MFOMD_0000136,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000166,http://purl.obolibrary.org/obo/NBO_0000084
http://purl.obolibrary.org/obo/NBO_0002169,http://purl.obolibrary.org/obo/NBO_0001786
http://purl.obolibrary.org/obo/NBO_0000155,http://purl.obolibrary.org/obo/NBO_0000048
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002948,http://purl.obolibrary.org/obo/behavior.owl/NBO_0002603
http://purl.obolibrary.org/obo/NBO_0000315,http://purl.obolibrary.org/obo/NBO_0000314
http://purl.obolibrary.org/obo/NBO_0000513,http://purl.obolibrary.org/obo/NBO_0000368
http://purl.obolibrary.org/obo/DOID_0060140,http://purl.obolibrary.org/obo/DOID_4090
http://purl.obolibrary.org/obo/NBO_0000078,http://purl.obolibrary.org/obo/NBO_0000010
http://purl.obolibrary.org/obo/MFOMD_0000155,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000560,http://purl.obolibrary.org/obo/NBO_0000027
http://purl.obolibrary.org/obo/DOID_0050587,http://purl.obolibrary.org/obo/DOID_10937
http://purl.obolibrary.org/obo/DOID_13487,http://purl.obolibrary.org/obo/DOID_0060040
http://purl.obolibrary.org/obo/DOID_12883,http://purl.obolibrary.org/obo/DOID_4737
http://purl.obolibrary.org/obo/OGMS_0000107,http://purl.obolibrary.org/obo/OBI_0000011
http://purl.obolibrary.org/obo/NBO_0000211,http://purl.obolibrary.org/obo/NBO_0000208
http://purl.obolibrary.org/obo/NBO_0000200,http://purl.obolibrary.org/obo/NBO_0000307
http://purl.obolibrary.org/obo/DOID_8689,http://purl.obolibrary.org/obo/DOID_8670
http://purl.obolibrary.org/obo/DOID_0060137,http://purl.obolibrary.org/obo/DOID_4090
http://purl.obolibrary.org/obo/MFOMD_0000133,http://purl.obolibrary.org/obo/MFOMD_0000024
http://purl.obolibrary.org/obo/NBO_0000614,http://purl.obolibrary.org/obo/NBO_0000612
http://purl.obolibrary.org/obo/DOID_13351,http://purl.obolibrary.org/obo/DOID_0060044
http://purl.obolibrary.org/obo/GO_0050977,http://purl.obolibrary.org/obo/GO_0007606
http://purl.obolibrary.org/obo/GO_0050977,http://purl.obolibrary.org/obo/GO_0050958
http://purl.obolibrary.org/obo/NBO_0000179,http://purl.obolibrary.org/obo/NBO_0000177
http://purl.obolibrary.org/obo/MF_0000202,http://purl.obolibrary.org/obo/MF_0000033
http://purl.obolibrary.org/obo/DOID_11385,http://purl.obolibrary.org/obo/DOID_93
http://purl.obolibrary.org/obo/MFOMD_0000195,http://purl.obolibrary.org/obo/DOID_1876
http://purl.obolibrary.org/obo/NBO_0000536,http://purl.obolibrary.org/obo/NBO_0000084
http://purl.obolibrary.org/obo/NBO_0000583,http://purl.obolibrary.org/obo/NBO_0000389
http://purl.obolibrary.org/obo/NBO_0001915,http://purl.obolibrary.org/obo/NBO_0001884
http://purl.obolibrary.org/obo/NBO_0000210,http://purl.obolibrary.org/obo/NBO_0000171
